order,super.family,family,genus,scientific.name,common.name
Lepidoptera,Noctuoidea,Noctuidae,Agrotis,Agrotis ipsilon,Ipsilon Dart Moth
Lepidoptera,Noctuoidea,Noctuidae,Amphipyra,Amphipyra pyramidoides,American Copper Underwing
Lepidoptera,Noctuoidea,Noctuidae,Anagrapha,Anagrapha falcifera,Celery Looper Moth
Lepidoptera,Noctuoidea,Noctuidae,Apamea,Apamea amputatrix,Yellow-headed Cutworm Moth
Lepidoptera,Noctuoidea,Noctuidae,Autographa,Autographa precationis,Common Looper Moth
Lepidoptera,Noctuoidea,Noctuidae,Bellura,Bellura obliqua,Cattail Borer Moth
Lepidoptera,Noctuoidea,Noctuidae,Callopistria,Callopistria cordata,Silver-spotted Fern Moth
Lepidoptera,Noctuoidea,Noctuidae,Calophasia,Calophasia lunula,Toadflax Brocade Moth
Lepidoptera,Noctuoidea,Noctuidae,Charadra,Charadra deridens,Laugher Moth
Lepidoptera,Noctuoidea,Noctuidae,Chrysanympha,Chrysanympha formosa,Formosa Looper Moth
Lepidoptera,Noctuoidea,Noctuidae,Chrysodeixis,Chrysodeixis includens,Soybean Looper Moth
Lepidoptera,Noctuoidea,Noctuidae,Chytonix,Chytonix palliatricula,Cloaked Marvel
Lepidoptera,Noctuoidea,Noctuidae,Cucullia,Cucullia asteroides,Asteroid Moth
Lepidoptera,Noctuoidea,Noctuidae,Cucullia,Cucullia convexipennis,Brown-hooded Owlet
Lepidoptera,Noctuoidea,Noctuidae,Diachrysia,Diachrysia aereoides,Dark-spotted Looper Moth
Lepidoptera,Noctuoidea,Noctuidae,Egira,Egira dolosa,Lined Black Aspen Woodling
Lepidoptera,Noctuoidea,Noctuidae,Elaphria,Elaphria alapallida,Pale-winged Midget
Lepidoptera,Noctuoidea,Noctuidae,Elaphria,Elaphria versicolor,Variegated Midget
Lepidoptera,Noctuoidea,Noctuidae,Eucirroedia,Eucirroedia pampina,Scalloped Sallow
Lepidoptera,Noctuoidea,Noctuidae,Eudryas,Eudryas grata,Beautiful Wood-nymph
Lepidoptera,Noctuoidea,Noctuidae,Eupsilia,Eupsilia vinulenta,Straight-toothed Sallow
Lepidoptera,Noctuoidea,Noctuidae,Feltia,Feltia herilis,Master's Dart
Lepidoptera,Noctuoidea,Noctuidae,Graphiphora,Graphiphora augur,Soothsayer Dart
Lepidoptera,Noctuoidea,Noctuidae,Harrisimemna,Harrisimemna trisignata,Harris' Three-Spot
Lepidoptera,Noctuoidea,Noctuidae,Homoglaea,Homoglaea hircina,Goat Sallow
Lepidoptera,Noctuoidea,Noctuidae,Leuconycta,Leuconycta diphteroides,Green Leuconycta Moth
Lepidoptera,Noctuoidea,Noctuidae,Leuconycta,Leuconycta lepidula,Marbled-green Leuconycta Moth
Lepidoptera,Noctuoidea,Noctuidae,Lithophane,Lithophane baileyi,Bailey's Pinion Moth
Lepidoptera,Noctuoidea,Noctuidae,Lithophane,Lithophane innominata,Nameless Pinion
Lepidoptera,Noctuoidea,Noctuidae,Maliattha,Maliattha synochitis,Black-dotted Glyph
Lepidoptera,Noctuoidea,Noctuidae,Melanchra,Melanchra adjuncta,Hitched Arches
Lepidoptera,Noctuoidea,Noctuidae,Meropleon,Meropleon diversicolor,Multicolored Sedgeminer Moth
Lepidoptera,Noctuoidea,Noctuidae,Morrisonia,Morrisonia latex,Fluid Arches
Lepidoptera,Noctuoidea,Noctuidae,Nedra,Nedra ramosula,Gray Half-Spot
Lepidoptera,Noctuoidea,Noctuidae,Neoligia,Neoligia exhausta,Exhausted Brocade
Lepidoptera,Noctuoidea,Noctuidae,Nephelodes,Nephelodes minians,Bronzed Cutworm Moth
Lepidoptera,Noctuoidea,Noctuidae,Noctua,Noctua pronuba,Large Yellow Underwing
Lepidoptera,Noctuoidea,Noctuidae,Ochropleura,Ochropleura implecta,Flame-shouldered Dart
Lepidoptera,Noctuoidea,Noctuidae,Oligia,Oligia minuscula,Small Brocade
Lepidoptera,Noctuoidea,Noctuidae,Oligia,Oligia strigilis,Marbled Minor
Lepidoptera,Noctuoidea,Noctuidae,Panthea,Panthea acronyctoides,Black Zigzag Moth
Lepidoptera,Noctuoidea,Noctuidae,Panthea,Panthea furcilla,Eastern Panthea Moth
Lepidoptera,Noctuoidea,Noctuidae,Phlogophora,Phlogophora iris,Olive Angle Shades
Lepidoptera,Noctuoidea,Noctuidae,Polia,Polia imbrifera,Cloudy Arches Moth
Lepidoptera,Noctuoidea,Noctuidae,Protodeltote,Protodeltote albidula,Pale Glyph
Lepidoptera,Noctuoidea,Noctuidae,Protodeltote,Protodeltote muscosula,Large Mossy Glyph
Lepidoptera,Noctuoidea,Noctuidae,Psectraglaea,Psectraglaea carnosa,Pink Sallow
Lepidoptera,Noctuoidea,Noctuidae,Pseudeustrotia,Pseudeustrotia carneola,Pink-barred Pseudeustrotia Moth
Lepidoptera,Noctuoidea,Noctuidae,Pseudohermonassa,Pseudohermonassa bicarnea,Pink-spotted Dart
Lepidoptera,Noctuoidea,Noctuidae,Raphia,Raphia frater,Brother Moth
Lepidoptera,Noctuoidea,Noctuidae,Schinia,Schinia florida,Primrose Moth
Lepidoptera,Noctuoidea,Noctuidae,Spaelotis,Spaelotis clandestina,Clandestine Dart
Lepidoptera,Noctuoidea,Noctuidae,Syngrapha,Syngrapha rectangula,Salt-and-pepper Looper Moth
Lepidoptera,Noctuoidea,Noctuidae,Trichordestra,Trichordestra legitima,Striped Garden Caterpillar Moth
Lepidoptera,Noctuoidea,Noctuidae,Ufeus,Ufeus satyricus,Brown Satyr Moth
Lepidoptera,Papilionoidea,Nymphalidae,Boloria,Boloria bellona,Meadow Fritillary
Lepidoptera,Papilionoidea,Nymphalidae,Boloria,Boloria selene,Silver-bordered Fritillary
Lepidoptera,Papilionoidea,Nymphalidae,Cercyonis,Cercyonis pegala,Common Wood-Nymph
Lepidoptera,Papilionoidea,Nymphalidae,Chlosyne,Chlosyne harrisii,Harris's Checkerspot
Lepidoptera,Papilionoidea,Nymphalidae,Coenonympha,Coenonympha california,Common Ringlet
Lepidoptera,Papilionoidea,Nymphalidae,Danaus,Danaus plexippus,Monarch
Lepidoptera,Papilionoidea,Nymphalidae,Euphydryas,Euphydryas phaeton,Baltimore Checkerspot
Lepidoptera,Papilionoidea,Nymphalidae,Junonia,Junonia coenia,Common Buckeye
Lepidoptera,Papilionoidea,Nymphalidae,Lethe,Lethe anthedon,Northern Pearly-eye
Lepidoptera,Papilionoidea,Nymphalidae,Lethe,Lethe appalachia,Appalachian Brown
Lepidoptera,Papilionoidea,Nymphalidae,Lethe,Lethe eurydice,Eyed Brown
Lepidoptera,Papilionoidea,Nymphalidae,Limenitis,Limenitis archippus,Viceroy
Lepidoptera,Papilionoidea,Nymphalidae,Limenitis,Limenitis arthemis,Red-spotted Admiral
Lepidoptera,Papilionoidea,Nymphalidae,Limenitis,Limenitis arthemis arthemis,American White Admiral
Lepidoptera,Papilionoidea,Nymphalidae,Megisto,Megisto cymela,Little Wood Satyr
Lepidoptera,Papilionoidea,Nymphalidae,Nymphalis,Nymphalis antiopa,Mourning Cloak
Lepidoptera,Papilionoidea,Nymphalidae,Nymphalis,Nymphalis l-album,Compton Tortoiseshell
Lepidoptera,Papilionoidea,Nymphalidae,Phyciodes,Phyciodes cocyta,Northern Crescent
Lepidoptera,Papilionoidea,Nymphalidae,Phyciodes,Phyciodes tharos,Pearl Crescent
Lepidoptera,Papilionoidea,Nymphalidae,Polygonia,Polygonia interrogationis,Question Mark
Lepidoptera,Papilionoidea,Nymphalidae,Speyeria,Speyeria aphrodite,Aphrodite Fritillary
Lepidoptera,Papilionoidea,Nymphalidae,Speyeria,Speyeria atlantis,Atlantis Fritillary
Lepidoptera,Papilionoidea,Nymphalidae,Speyeria,Speyeria cybele,Great Spangled Fritillary
Lepidoptera,Papilionoidea,Nymphalidae,Vanessa,Vanessa atalanta,Red Admiral
Lepidoptera,Papilionoidea,Nymphalidae,Vanessa,Vanessa cardui,Painted Lady
Lepidoptera,Papilionoidea,Nymphalidae,Vanessa,Vanessa virginiensis,American Lady
Lepidoptera,Papilionoidea,Papilionidae,Papilio,Papilio canadensis,Canadian Tiger Swallowtail
Lepidoptera,Papilionoidea,Papilionidae,Papilio,Papilio polyxenes,Black Swallowtail
Lepidoptera,Papilionoidea,Pieridae,Colias,Colias interior,Pink-edged Sulphur
Lepidoptera,Papilionoidea,Pieridae,Colias,Colias philodice,Clouded Sulphur
Lepidoptera,Papilionoidea,Pieridae,Pieris,Pieris rapae,Cabbage White
Lepidoptera,Sphingoidea,Sphingidae,Aellopos,Aellopos titan,Titan Sphinx
Lepidoptera,Sphingoidea,Sphingidae,Ceratomia,Ceratomia undulosa,Waved Sphinx
Lepidoptera,Sphingoidea,Sphingidae,Darapsa,Darapsa choerilus,Azalea Sphinx
Lepidoptera,Sphingoidea,Sphingidae,Dolba,Dolba hyloeus,Pawpaw Sphinx
Lepidoptera,Sphingoidea,Sphingidae,Eumorpha,Eumorpha pandorus,Pandorus Sphinx
Lepidoptera,Bombycoidea,Sphingidae,Hemaris,Hemaris aethra,Diervilla Clearwing
Lepidoptera,Sphingoidea,Sphingidae,Hemaris,Hemaris diffinis,Snowberry Clearwing
Lepidoptera,Sphingoidea,Sphingidae,Hemaris,Hemaris gracilis,Slender Clearwing
Lepidoptera,Sphingoidea,Sphingidae,Hemaris,Hemaris thysbe,Hummingbird Clearwing
Lepidoptera,Sphingoidea,Sphingidae,Hyles,Hyles gallii,Bedstraw Hawkmoth
Lepidoptera,Sphingoidea,Sphingidae,Lapara,Lapara bombycoides,Northern Pine Sphinx
Lepidoptera,Bombycoidea,Sphingidae,Manduca,Manduca sexta,Carolina Sphinx
Lepidoptera,Sphingoidea,Sphingidae,Pachysphinx,Pachysphinx modesta,Modest Sphinx
Lepidoptera,Sphingoidea,Sphingidae,Paonias,Paonias excaecata,Blinded Sphinx
Lepidoptera,Sphingoidea,Sphingidae,Paonias,Paonias myops,Small-eyed Sphinx
Lepidoptera,Sphingoidea,Sphingidae,Smerinthus,Smerinthus cerisyi,One-eyed Sphinx
Lepidoptera,Sphingoidea,Sphingidae,Sphinx,Sphinx chersis,Great Ash Sphinx
Lepidoptera,Sphingoidea,Sphingidae,Sphinx,Sphinx drupiferarum,Wild Cherry Sphinx
Lepidoptera,Sphingoidea,Sphingidae,Sphinx,Sphinx kalmiae,Laurel Sphinx
Lepidoptera,Sphingoidea,Sphingidae,Sphinx,Sphinx poecila,Northern Apple Sphinx
